id;ts;k;u;d
1;2026-09-01T08:26:02.136783+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""cc16996c-acc4-4e95-a8fd-53f3285c2a59""}"
2;2026-09-01T08:26:50.723198+00:00;badm;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/adm/adm.html;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""b3e888f2-9087-40d6-a1c4-798c9a3a57f5""}"
3;2026-09-01T08:27:18.926365+00:00;badm;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/adm/adm.html;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""b3e888f2-9087-40d6-a1c4-798c9a3a57f5""}"
4;2026-09-01T08:27:26.818151+00:00;curltest;https://example.com;"{""sid"":""t""}"
5;2026-09-01T08:36:03.930343+00:00;;;"{""c"":4,""d"":24,""l"":""en-GB"",""p"":""iPhone"",""r"":"""",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"",""sid"":""deffd73c-67b8-40a3-853e-c9fb20c04da5""}"
6;2026-09-01T08:36:13.591787+00:00;ldi;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf&c=w,1,nTc;"{""c"":4,""d"":24,""l"":""en-GB"",""p"":""iPhone"",""r"":""https://gormb.github.io/_/"",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"",""sid"":""deffd73c-67b8-40a3-853e-c9fb20c04da5""}"
7;2026-09-01T08:37:10.081949+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""en-GB"",""p"":""iPhone"",""r"":""https://gormb.github.io/_/"",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1"",""sid"":""deffd73c-67b8-40a3-853e-c9fb20c04da5""}"
8;2026-09-01T10:15:13.022562+00:00;;;"{""c"":4,""d"":24,""l"":""en-US"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.135.0 Chrome/148.0.7778.280 Electron/42.8.1 Safari/537.36"",""sid"":""7de11554-b321-4c8b-a68c-12cec5dab1a9""}"
9;2026-09-01T10:15:21.900747+00:00;blocktest;x;"{""c"":4,""d"":24,""l"":""en-US"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.135.0 Chrome/148.0.7778.280 Electron/42.8.1 Safari/537.36"",""sid"":""bba4b28a-cc6b-4c4b-b106-c0d9b91c3eb2""}"
10;2026-09-01T10:20:05.042765+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://www.linkedin.com/"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""6fa8c03e-3303-4c29-b02e-800bfa575bd9""}"
